track name,artists names,artists ids,track popularity,artist ids,track id,release date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature,follow,pop,num artist
Move Your Body,"['Öwnboss', 'Sevek']","['37czgDRfGMvgRiUKHvnnhj', '0aOIluXr131XqrXFwFCFGT']",79,"['37czgDRfGMvgRiUKHvnnhj', '0aOIluXr131XqrXFwFCFGT']",6GomT970rCOkKAyyrwJeZi,2021-10-29,0.848,0.821,2,-5.408,0,0.0527,0.0169,0.000403,0.0962,0.249,125.051,audio_features,6GomT970rCOkKAyyrwJeZi,157445,4,33201,130,2
Say Nothing (feat. MAY-A),"['Flume', 'MAY-A']","['6nxWCVXbOlEVRexSbLsTer', '5J8UACGRZtDb4WdOzo9YJN']",69,"['6nxWCVXbOlEVRexSbLsTer', '5J8UACGRZtDb4WdOzo9YJN']",424Uwmm1kNW07Ty1nOhSpl,2022-02-02,0.478,0.822,2,-1.961,0,0.0642,0.101,6.6e-05,0.12,0.309,130.058,audio_features,424Uwmm1kNW07Ty1nOhSpl,232959,4,2257049,135,2
You've Got To Let Go If You Want To Be Free,"['Disclosure', 'Zedd']","['6nS5roXSAGhTGr34W6n7Et', '2qxJFvFYMEDqd7ui6kSAcq']",72,"['6nS5roXSAGhTGr34W6n7Et', '2qxJFvFYMEDqd7ui6kSAcq']",5kVXjAxYDkN57tZQi0JKya,2022-01-28,0.658,0.908,4,-8.071,0,0.186,0.0335,0.0198,0.221,0.45,123.92,audio_features,5kVXjAxYDkN57tZQi0JKya,253787,4,7669295,158,2
Down Under (feat. Colin Hay),"['Luude', 'Colin Hay']","['20cmhoGvN0eyzhmsHJH1Mg', '5mxB08ktCukEhGMg2YZeEv']",85,"['20cmhoGvN0eyzhmsHJH1Mg', '5mxB08ktCukEhGMg2YZeEv']",7AVyve7cFYTd51ha5i9kE2,2021-11-19,0.308,0.861,11,-4.112,0,0.172,0.012,0.00103,0.277,0.0386,171.966,audio_features,7AVyve7cFYTd51ha5i9kE2,158774,4,125502,146,2
Beg For You (feat. Rina Sawayama),"['Charli XCX', 'Rina Sawayama']","['25uiPmTg16RbhZWAqwLBy5', '2KEqzdPS7M5YwGmiuPTdr5']",79,"['25uiPmTg16RbhZWAqwLBy5', '2KEqzdPS7M5YwGmiuPTdr5']",50ZFpw2wS6ERvLmW8TINhq,2022-01-27,0.788,0.945,9,-5.091,1,0.0599,0.223,2.97e-06,0.115,0.466,128.036,audio_features,50ZFpw2wS6ERvLmW8TINhq,168053,4,3198289,150,2
Where Did You Go?,"['Jax Jones', 'MNEK']","['4Q6nIcaBED8qUel8bBx6Cr', '7uMh23xWiuR7zsNkuNcm2G']",51,"['4Q6nIcaBED8qUel8bBx6Cr', '7uMh23xWiuR7zsNkuNcm2G']",26KOUSe9W0ZsTxMgNfbmq1,2022-01-26,0.774,0.784,10,-4.549,1,0.0351,0.194,1.07e-05,0.293,0.533,127.042,audio_features,26KOUSe9W0ZsTxMgNfbmq1,177689,4,1251567,153,2
High,['The Chainsmokers'],['69GGBxA162lTqCwzJG5jLp'],83,['69GGBxA162lTqCwzJG5jLp'],3t4KHjd8uQpJJ2fa0fRIpR,2022-01-28,0.601,0.787,0,-6.178,1,0.031,0.0492,0,0.142,0.525,134.981,audio_features,3t4KHjd8uQpJJ2fa0fRIpR,175163,4,18774341,85,1
No Fun,"['Armin van Buuren', 'The Stickmen Project']","['0SfsnGyD8FpIN4U4WCkBZ5', '13wroZC00C9ix8fUR0JvaY']",52,"['0SfsnGyD8FpIN4U4WCkBZ5', '13wroZC00C9ix8fUR0JvaY']",2yYb6Ru1cwcDUBS4txRYQL,2021-11-19,0.731,0.904,10,-4.774,0,0.0349,0.00861,0.000164,0.0916,0.328,121.03,audio_features,2yYb6Ru1cwcDUBS4txRYQL,130413,4,4124848,140,2
Shinigami Eyes,['Grimes'],['053q0ukIDRgzwTr4vNSwab'],76,['053q0ukIDRgzwTr4vNSwab'],0YQEWdfq3ajtNtK106Dr0k,2022-01-26,0.632,0.691,9,-5.226,0,0.0603,0.00604,0.00149,0.19,0.0768,116.028,audio_features,0YQEWdfq3ajtNtK106Dr0k,159315,4,1588865,74,1
In Your Arms (For An Angel),"['Topic', 'Robin Schulz', 'Nico Santos', 'Paul van Dyk']","['0u6GtibW46tFX7koQ6uNJZ', '3t5xRXzsuZmMDkQzgOX35S', '3A9B6c1CrSPauiOblw7pWz', '7wU1naftD3lNq7rNsiDvOR']",75,"['0u6GtibW46tFX7koQ6uNJZ', '3t5xRXzsuZmMDkQzgOX35S', '3A9B6c1CrSPauiOblw7pWz', '7wU1naftD3lNq7rNsiDvOR']",5WOnsi0Bug74LmhxcPfKvR,2022-01-28,0.694,0.828,11,-4.653,0,0.0336,0.0399,0,0.0796,0.407,126.002,audio_features,5WOnsi0Bug74LmhxcPfKvR,150476,4,4002506,297,4
When I’m Gone (with Katy Perry),"['Alesso', 'Katy Perry']","['4AVFqumd2ogHFlRbKIjp1t', '6jJ0s89eD6GaHleKKya26X']",86,"['4AVFqumd2ogHFlRbKIjp1t', '6jJ0s89eD6GaHleKKya26X']",5902W4uHWzhtOff1UK7the,2021-12-29,0.685,0.886,0,-4.179,1,0.034,0.028,0,0.481,0.615,125.034,audio_features,5902W4uHWzhtOff1UK7the,161267,4,24340070,168,2
The Parade,"['Joel Corry', 'Da Hool']","['6DgP9otnZw5z6daOntINxp', '0wOXK4GjUAFUDhd7mvKBbW']",63,"['6DgP9otnZw5z6daOntINxp', '0wOXK4GjUAFUDhd7mvKBbW']",0B3H6se7MYo3D7BmzfvdVN,2022-02-04,0.793,0.886,10,-5.071,0,0.0445,0.000755,0.878,0.296,0.285,124.04,audio_features,0B3H6se7MYo3D7BmzfvdVN,158725,4,269751,136,2
Forget About Me,"['Aluna', 'Diplo', 'Durante', 'AlunaGeorge']","['5ITI6SEoUZMIXXkzCfr4oE', '5fMUXHkw8R8eOP2RNVYEZX', '1BqIPGrEhdjdLFpUzce2dh', '2VAnyOxzJuSAj7XIuEOT38']",69,"['5ITI6SEoUZMIXXkzCfr4oE', '5fMUXHkw8R8eOP2RNVYEZX', '1BqIPGrEhdjdLFpUzce2dh', '2VAnyOxzJuSAj7XIuEOT38']",6EafRI0UtUidrZbbKpFRYq,2022-01-14,0.721,0.894,3,-7.59,0,0.0488,0.0428,0.502,0.134,0.88,127.005,audio_features,6EafRI0UtUidrZbbKpFRYq,177638,4,2914561,280,4
Original Sin,['Sofi Tukker'],['586uxXMyD5ObPuzjtrzO1Q'],63,['586uxXMyD5ObPuzjtrzO1Q'],0fp6PDlnCkmdE0F3s0tfr6,2022-02-04,0.779,0.727,11,-8.59,0,0.053,0.165,0.0194,0.32,0.455,124.021,audio_features,0fp6PDlnCkmdE0F3s0tfr6,171599,4,601239,72,1
Sooner Or Later,['Years & Years'],['5vBSrE1xujD2FXYRarbAXc'],70,['5vBSrE1xujD2FXYRarbAXc'],2QLdrqojYq2yRKHqv6tXh1,2022-01-14,0.318,0.764,10,-4.102,1,0.0956,0.00712,0,0.0789,0.507,120.984,audio_features,2QLdrqojYq2yRKHqv6tXh1,200322,3,1821905,76,1
The Motto,"['Tiësto', 'Ava Max']","['2o5jDhtHVPhrJdv3cEQ99Z', '4npEfmQ6YuiwW1GpUmaq3F']",93,"['2o5jDhtHVPhrJdv3cEQ99Z', '4npEfmQ6YuiwW1GpUmaq3F']",18asYwWugKjjsihZ0YvRxO,2021-11-04,0.754,0.763,7,-4.627,0,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953,audio_features,18asYwWugKjjsihZ0YvRxO,164819,4,11023993,173,2
